ampl.tab 2 2
KT	KP	dx	dy
1	1	0.9095321654780376	-0.4634297854448378
1	2	1.0082241721599192	-0.15968702122921866
1	3	1.0082241721599192	0.15968702122921838
1	4	0.9095321654780362	0.4634297854448375
1	5	0.7218088133559386	0.7218088133559383
1	6	0.46342978544483815	0.9095321654780367
1	7	0.15968702122921755	1.0082241721599194
1	8	-0.1596870212292172	1.0082241721599188
1	9	-0.4634297854448388	0.9095321654780374
1	10	-0.721808813355937	0.7218088133559377
1	11	-0.9095321654780375	0.4634297854448385
1	12	-1.0082241721599188	0.15968702122921763
1	13	-1.00822417215992	-0.15968702122921774
1	14	-0.9095321654780357	-0.4634297854448377
1	15	-0.7218088133559378	-0.7218088133559376
1	16	-0.46342978544483815	-0.9095321654780371
1	17	-0.15968702122921774	-1.0082241721599194
1	18	0.1596870212292175	-1.008224172159919
1	19	0.46342978544483804	-0.9095321654780374
1	20	0.7218088133559382	-0.7218088133559382
2	1	0.8935830562141047	-0.2598654419916847
2	2	0.9787553716217017	-0.004924549717666017
2	3	0.9805643527503851	0.2644265927852089
2	4	0.8983312729655911	0.5213421042594754
2	5	0.7399859501209575	0.7399859501209574
2	6	0.5213421042594757	0.8983312729655923
2	7	0.26442659278520886	0.9805643527503876
2	8	-0.004924549717664961	0.9787553716217008
2	9	-0.2598654419916849	0.8935830562141044
2	10	-0.4753512737122253	0.7340669612137157
2	11	-0.6306160757157661	0.5164186108592101
2	12	-0.7110715444158996	0.2622298833520853
2	13	-0.70949951168652	-0.00374114520139774
2	14	-0.6265131334937877	-0.25593923250167394
2	15	-0.47033052856317825	-0.47033052856317786
2	16	-0.25593923250167444	-0.6265131334937879
2	17	-0.0037411452013983285	-0.7094995116865203
2	18	0.262229883352084	-0.7110715444159005
2	19	0.5164186108592095	-0.6306160757157664
2	20	0.7340669612137141	-0.47535127371222635
3	1	1.0630579706759333	0.20279051212294572
3	2	1.1269240786728032	0.3926879098516995
3	3	1.128562387410546	0.5936729473296644
3	4	1.067307487724316	0.7856089229100096
3	5	0.9490271127292449	0.9490271127292458
3	6	0.7856089229100093	1.0673074877243183
3	7	0.5936729473296641	1.1285623874105508
3	8	0.39268790985169927	1.126924078672803
3	9	0.20279051212294552	1.0630579706759342
3	10	0.04263906828788042	0.9438857496514218
3	11	-0.0724236622354714	0.7816427747205418
3	12	-0.1317286880926052	0.5924701765550904
3	13	-0.13009497199643263	0.3947524157009018
3	14	-0.06810928038305554	0.2073805800714692
3	15	0.0480785187911557	0.048078518791157196
3	16	0.20738058007146745	-0.06810928038305379
3	17	0.39475241570089953	-0.13009497199643238
3	18	0.592470176555087	-0.13172868809260535
3	19	0.78164277472054	-0.07242366223547106
3	20	0.9438857496514177	0.04263906828788049
4	1	1.426848967223759	0.7341934893484455
4	2	1.4778780050488909	0.8870263908462641
4	3	1.4788791749759402	1.0486378614338085
4	4	1.4294172175791324	1.2028973039683268
4	5	1.334248790475242	1.3342487904752434
4	6	1.2028973039683257	1.4294172175791349
4	7	1.0486378614338079	1.478879174975946
4	8	0.8870263908462626	1.4778780050488907
4	9	0.7341934893484446	1.4268489672237603
4	10	0.6051482293278397	1.3312360321441008
4	11	0.5123005542402962	1.2007824657647508
4	12	0.46434068260465916	1.048435633578299
4	13	0.4655417390232962	0.8890218236017722
4	14	0.5154955267766078	0.7378344865217799
4	15	0.6092546423085909	0.6092546423085932
4	16	0.7378344865217773	0.5154955267766109
4	17	0.8890218236017691	0.4655417390232971
4	18	1.048435633578295	0.46434068260465994
4	19	1.2007824657647488	0.5123005542402974
4	20	1.3312360321440957	0.605148229327841
5	1	1.9366436040454789	1.3347199834147976
5	2	1.980475487900985	1.4675456373807816
5	3	1.9809300177595712	1.6077381545059526
5	4	1.937780255718112	1.7414024292221022
5	5	1.8552054758305936	1.8552054758305945
5	6	1.7414024292221015	1.9377802557181143
5	7	1.607738154505952	1.9809300177595772
5	8	1.4675456373807798	1.980475487900984
5	9	1.334719983414797	1.9366436040454802
5	10	1.2222935026902153	1.8539709679790433
5	11	1.1411525800350724	1.7407641838381909
5	12	1.0990207028985066	1.6082073783711819
5	13	1.0997860260014094	1.46923192684079
5	14	1.1432081527186808	1.3372694523320323
5	15	1.2250020149397867	1.2250020149397893
5	16	1.3372694523320292	1.1432081527186846
5	17	1.4692319268407863	1.0997860260014105
5	18	1.6082073783711774	1.0990207028985077
5	19	1.7407641838381884	1.1411525800350737
5	20	1.8539709679790377	1.2222935026902169
6	1	2.543765101938502	1.982072513807615
6	2	2.5841592437595997	2.1060713832847977
6	3	2.5841744032511116	2.2366590369847614
6	4	2.543753242347671	2.360997975624445
6	5	2.4668396278555993	2.4668396278556
6	6	2.3609979756244446	2.5437532423476727
6	7	2.236659036984761	2.5841744032511174
6	8	2.1060713832847955	2.5841592437595984
6	9	1.9820725138076134	2.5437651019385026
6	10	1.8768116985321244	2.4670230568787344
6	11	1.8005569406332593	2.361513968682515
6	12	1.7607036108941436	2.237600571512426
6	13	1.761076510772702	2.1074000634623076
6	14	1.801584296471442	1.9836025246823574
6	15	1.878249436599372	1.8782494365993747
6	16	1.9836025246823548	1.8015842964714464
6	17	2.1074000634623045	1.761076510772704
6	18	2.2376005715124223	1.760703610894146
6	19	2.361513968682514	1.800556940633262
6	20	2.46702305687873	1.8768116985321268
7	1	3.1994430593667467	2.638486031317493
7	2	3.239296389105859	2.7623994284875804
7	3	3.2389234892273	2.8925999365377
7	4	3.1984157035285596	3.0163974753176497
7	5	3.1217505634006315	3.1217505634006324
7	6	3.0163974753176497	3.198415703528562
7	7	2.8925999365377	3.2389234892273064
7	8	2.7623994284875786	3.2392963891058586
7	9	2.6384860313174925	3.199443059366748
7	10	2.5329769431212705	3.1231883014678807
7	11	2.456234898061504	3.017927486192393
7	12	2.4158407562404025	2.893928616715208
7	13	2.4158255967488893	2.763340963015245
7	14	2.4562467576523286	2.63900202437556
7	15	2.5331603721444025	2.5331603721444047
7	16	2.6390020243755576	2.456246757652333
7	17	2.7633409630152412	2.4158255967488906
7	18	2.893928616715204	2.4158407562404043
7	19	3.0179274861923915	2.4562348980615063
7	20	3.123188301467875	2.5329769431212723
8	1	3.8588474199649325	3.259235816161815
8	2	3.900979297101495	3.3917926216288223
8	3	3.900213973998591	3.530768073159215
8	4	3.856791847281319	3.6627305476679726
8	5	3.774997985060215	3.7749979850602147
8	6	3.6627305476679726	3.8567918472813205
8	7	3.530768073159215	3.900213973998597
8	8	3.39179262162882	3.900979297101493
8	9	3.2592358161618145	3.8588474199649325
8	10	3.1460290320209587	3.777706497309787
8	11	3.063356395954523	3.6652800165852057
8	12	3.0195245120990135	3.5324543626192204
8	13	3.019069982240426	3.3922618454940503
8	14	3.062219744281884	3.258597570777899
8	15	3.144794524169405	3.1447945241694066
8	16	3.2585975707778974	3.062219744281888
8	17	3.3922618454940476	3.019069982240427
8	18	3.5324543626192177	3.019524512099015
8	19	3.6652800165852066	3.0633563959545254
8	20	3.777706497309783	3.14602903202096
9	1	4.487699445759708	3.799217534235253
9	2	4.535659317395342	3.951564366421703
9	3	4.534458260976703	4.1109781763982305
9	4	4.484504473223392	4.262165513478223
9	5	4.390745357691411	4.390745357691409
9	6	4.262165513478225	4.484504473223393
9	7	4.110978176398232	4.5344582609767095
9	8	3.951564366421702	4.53565931739534
9	9	3.7992175342352557	4.487699445759708
9	10	3.6687639678559014	4.3948517706721635
9	11	3.5731510327762446	4.265806510651559
9	12	3.522121994951109	4.112973609153738
9	13	3.521120825024059	3.951362138566195
9	14	3.570582782420865	3.797102696031675
9	15	3.6657512095247577	3.6657512095247586
9	16	3.7971026960316734	3.5705827824208676
9	17	3.9513621385661923	3.5211208250240578
9	18	4.112973609153734	3.5221219949511076
9	19	4.265806510651559	3.5731510327762446
9	20	4.394851770672157	3.6687639678559
10	1	5.072423662235478	4.218357225279464
10	2	5.131728688092608	4.407529823444912
10	3	5.130094971996433	4.6052475842991
10	4	5.068109280383057	4.792619419928534
10	5	4.9519214812088475	4.951921481208844
10	6	4.792619419928537	5.068109280383056
10	7	4.605247584299103	5.130094971996439
10	8	4.407529823444909	5.131728688092604
10	9	4.2183572252794646	5.072423662235476
10	10	4.056114250348578	4.957360931712123
10	11	3.9369420293240696	4.797209487877057
10	12	3.873075921327195	4.607312090148301
10	13	3.8714376125894527	4.406327052670338
10	14	3.9326925122756795	4.21439107708999
10	15	4.050972887270754	4.050972887270754
10	16	4.2143910770899895	3.932692512275683
10	17	4.406327052670337	3.871437612589452
10	18	4.607312090148297	3.873075921327195
10	19	4.797209487877059	3.9369420293240713
